year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,expansion_group,treated,post,treat_post
2023,        ,38,0,40,0,0,0,0,626091,       0,35678,    3021,590413,    3021,5.7,0.5, 94.3,  0.5,  5.7,  0.5, 94.3,  0.5,North Dakota,                                                                      ,expansion_2014,1,1,1
2023,        ,39,0,40,0,0,0,0,9378733,       0,695062,   19300,8683671,   19300,7.4,0.2, 92.6,  0.2,  7.4,  0.2, 92.6,  0.2,Ohio,                                                                      ,expansion_2014,1,1,1
2023,        ,41,0,40,0,0,0,0,3376397,       0,230588,   10490,3145809,   10490,6.8,0.3, 93.2,  0.3,  6.8,  0.3, 93.2,  0.3,Oregon,                                                                      ,expansion_2014,1,1,1
2023,        ,44,0,40,0,0,0,0,855380,       0,45120,    4819,810260,    4819,5.3,0.6, 94.7,  0.6,  5.3,  0.6, 94.7,  0.6,Rhode Island,                                                                      ,expansion_2014,1,1,1
2023,        ,45,0,40,0,0,0,0,4191559,       0,464944,   15322,3726615,   15322,11.1,0.4, 88.9,  0.4, 11.1,  0.4, 88.9,  0.4,South Carolina,                                                                      ,never_expanded,0,1,0
2023,        ,47,0,40,0,0,0,0,5749442,       0,634894,   18357,5114548,   18357,11.0,0.3, 89.0,  0.3, 11.0,  0.3, 89.0,  0.3,Tennessee,                                                                      ,never_expanded,0,1,0
2023,        ,48,0,40,0,0,0,0,25681013,       0,4774440,   59952,20906573,   59952,18.6,0.2, 81.4,  0.2, 18.6,  0.2, 81.4,  0.2,Texas,                                                                      ,never_expanded,0,1,0
2023,        ,50,0,40,0,0,0,0,489436,       0,22450,    2341,466986,    2341,4.6,0.5, 95.4,  0.5,  4.6,  0.5, 95.4,  0.5,Vermont,                                                                      ,expansion_2014,1,1,1
2023,        ,53,0,40,0,0,0,0,6433953,       0,479224,   15277,5954729,   15277,7.4,0.2, 92.6,  0.2,  7.4,  0.2, 92.6,  0.2,Washington,                                                                      ,expansion_2014,1,1,1
2023,        ,54,0,40,0,0,0,0,1354188,       0,100715,    6357,1253473,    6357,7.4,0.5, 92.6,  0.5,  7.4,  0.5, 92.6,  0.5,West Virginia,                                                                      ,expansion_2014,1,1,1
2023,        ,55,0,40,0,0,0,0,4687618,       0,277750,    9738,4409868,    9738,5.9,0.2, 94.1,  0.2,  5.9,  0.2, 94.1,  0.2,Wisconsin,                                                                      ,never_expanded,0,1,0
2023,        ,56,0,40,0,0,0,0,462387,       0,61614,    4145,400773,    4145,13.3,0.9, 86.7,  0.9, 13.3,  0.9, 86.7,  0.9,Wyoming,                                                                      ,never_expanded,0,1,0
